,Lat,Long,,Population,
[,50.505385,-116.030857,"""",34,"""]"
[,50.505385,-116.030857,"""",36,"""]"
[,50.505385,-116.030857,"""",0,"""]"
[,50.505385,-116.030857,"""",5,"""]"
[,50.505385,-116.030857,"""",17,"""]"
[,50.505385,-116.030857,"""",0,"""]"
[,50.505385,-116.030857,"""",10,"""]"
[,50.505385,-116.030857,"""",10,"""]"
[,50.505385,-116.030857,"""",0,"""]"
[,50.505385,-116.030857,"""",0,"""]"
[,50.505385,-116.030857,"""",0,"""]"
[,50.505385,-116.030857,"""",39,"""]"
[,50.505385,-116.030857,"""",5,"""]"
[,50.505385,-116.030857,"""",16,"""]"
[,50.503458,-116.034851,"""",50,"""]"
[,50.503458,-116.034851,"""",32,"""]"
[,50.503458,-116.034851,"""",0,"""]"
[,50.503458,-116.034851,"""",94,"""]"
[,50.503458,-116.034851,"""",17,"""]"
[,50.503458,-116.034851,"""",10,"""]"
[,50.503458,-116.034851,"""",30,"""]"
[,50.503458,-116.034851,"""",17,"""]"
[,50.503458,-116.034851,"""",117,"""]"
[,50.50079,-116.042397,"""",56,"""]"
[,50.50079,-116.042397,"""",59,"""]"
[,50.50079,-116.042397,"""",75,"""]"
[,50.50079,-116.042397,"""",31,"""]"
[,50.50079,-116.042397,"""",22,"""]"
[,50.50079,-116.042397,"""",64,"""]"
[,50.50079,-116.042397,"""",156,"""]"
[,50.493609,-116.040086,"""",18,"""]"
[,50.493609,-116.040086,"""",48,"""]"
[,50.493609,-116.040086,"""",142,"""]"
[,50.493609,-116.040086,"""",5,"""]"
[,50.493609,-116.040086,"""",206,"""]"
[,50.493609,-116.040086,"""",19,"""]"
[,50.493609,-116.040086,"""",5,"""]"
[,50.493609,-116.040086,"""",124,"""]"
[,50.493609,-116.040086,"""",10,"""]"
[,50.493609,-116.040086,"""",0,"""]"
[,50.493609,-116.040086,"""",0,"""]"
[,50.493609,-116.040086,"""",0,"""]"
[,50.493609,-116.040086,"""",5,"""]"
[,50.493609,-116.040086,"""",73,"""]"
[,50.493609,-116.040086,"""",0,"""]"
[,50.493609,-116.040086,"""",15,"""]"
[,50.488531,-115.990463,"""",59,"""]"
[,50.488531,-115.990463,"""",15,"""]"
[,50.488531,-115.990463,"""",0,"""]"
[,50.488531,-115.990463,"""",10,"""]"
[,50.488531,-115.990463,"""",5,"""]"
[,50.488531,-115.990463,"""",0,"""]"
[,50.488531,-115.990463,"""",5,"""]"
[,50.488531,-115.990463,"""",5,"""]"
[,50.488531,-115.990463,"""",10,"""]"
[,50.488531,-115.990463,"""",5,"""]"
[,50.488531,-115.990463,"""",0,"""]"
[,50.488531,-115.990463,"""",5,"""]"
[,50.488531,-115.990463,"""",5,"""]"
[,50.488531,-115.990463,"""",0,"""]"
[,50.488531,-115.990463,"""",102,"""]"
[,50.488531,-115.990463,"""",5,"""]"
